"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","phylum","class","order","family","genus","cx_int_no"
"984227","occ","","","118012","Diodorus scytobrachion n. gen. n. sp.","species","202341","","Diodorus scytobrachion","species","202341","Carnian","Norian","237","205.7","37952","-8.967050","31.063440","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Diodorus","44"
"984394","occ","","","52888","Shenzhousaurus orientalis n. gen. n. sp.","species","68334","","Shenzhousaurus orientalis","species","68334","Late Barremian","Early Aptian","125.77","119.57","14983","120.872200","41.601398","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Shenzhousaurus","40"
"985494","occ","","","118207","Zhongjianornis yangi n. gen. n. sp.","species","197824","","Zhongjianornis yangi","species","197824","Aptian","","121.4","113.2","32741","119.795700","40.807522","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Zhongjianornis","119"
"985495","occ","","","118207","Jianchangornis microdonta n. gen. n. sp.","species","197840","","Jianchangornis microdonta","species","197840","Aptian","","121.4","113.2","37438","119.795700","40.807522","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Jianchangornis","119"
"986561","occ","27544","","118324","Iguanodon bernissartensis","species","58905","","Iguanodon bernissartensis","species","58905","Late Berriasian","","139.1","137.05","43049","9.110278","52.260555","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Iguanodon","123"
"986830","occ","","","58168","Sazavis prisca n. gen. n. sp.","species","137281","","Sazavis prisca","species","137281","Middle Turonian","Late Turonian","93.9","89.8","38130","62.655315","42.117294","Chordata","Saurischia","Alexornithiformes","Alexornithidae","Sazavis","116"
"987045","occ","","","28454","Gargantuavis philoinos","species","65146","","Gargantuavis philoinos","species","65146","Late Campanian","","83.6","72.2","38140","6.106141","43.606697","Chordata","Saurischia","NO_ORDER_SPECIFIED","Gargantuaviidae","Gargantuavis","113"
"987137","occ","30804","","118411","Canadaga arctica n. gen. n. sp.","species","203029","","Canadaga arctica","species","203029","Late Maastrichtian","","72.2","66","54137","-79.000000","73.500000","Chordata","Saurischia","Hesperornithiformes","Hesperornithidae","Canadaga","112"
"987139","occ","","","58168","Ichthyornis maltshevskyi n. sp.","species","71344","recombined as","Lenesornis maltshevskyi","species","71344","Middle Turonian","Late Turonian","93.9","89.8","38156","62.655315","42.117294","Chordata","Saurischia","Alexornithiformes","Alexornithidae","Lenesornis","116"
"987417","occ","","","58168","Ichthyornis minusculus n. sp.","species","203078","","Ichthyornis minusculus","species","203078","Middle Turonian","Late Turonian","93.9","89.8","38168","62.655315","42.117294","Chordata","Saurischia","Ichthyornithes","NO_FAMILY_SPECIFIED","Ichthyornis","116"
