"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon"
"373549","373549","txn","","","Afropavo congensis","","373549","species","Afropavo congensis","373548","Afropavo","65172","extant","1","0.129","0.0117","0.129","0.0117","Late Pleistocene","","1","1","Chordata","Saurischia","Galliformes","Phasianidae","Afropavo",""
"370460","370460","txn","","","Phasianus hermonis","","370460","species","Phasianus hermonis","191580","Phasianus","65508","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Phasianus",""
"424134","424134","txn","","","Phasianus lufengia","","424134","species","Phasianus lufengia","191580","Phasianus","73262","extinct","1","11.63","7.246","11.63","7.246","Tortonian","","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Phasianus",""
"335139","335139","txn","","","Phasianus alfhildae","","335139","species","Phasianus alfhildae","191580","Phasianus","57738","extinct","1","51.1","39.7","51.1","39.7","Ypresian","Bartonian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Phasianus",""
"429972","429972","txn","","","Phasianus etuliensis","","429972","species","Phasianus etuliensis","191580","Phasianus","58139","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Phasianus",""
"335129","335129","txn","","","Phasianus mioceanus","","335129","species","Phasianus mioceanus","191580","Phasianus","57738","extinct","1","29.5","18.5","29.5","18.5","Rupelian","Burdigalian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Phasianus",""
"419516","419516","txn","","","Phasianus bulgaricus","","419516","species","Phasianus bulgaricus","191580","Phasianus","72464","extinct","1","8.725","5.09","8.725","5.09","Tortonian","Zanclean","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Phasianus",""
"372509","372509","txn","","","Phasianus colchicus","","372509","species","Phasianus colchicus","191580","Phasianus","12782","extant","1","0.0117","0","0.0117","0","Holocene","","1","1","Chordata","Saurischia","Galliformes","Phasianidae","Phasianus",""
"335127","335127","txn","","","Phasianus americanus","","335127","species","Phasianus americanus","191580","Phasianus","57738","extinct","1","16.3","12.5","16.3","12.5","Burdigalian","Serravallian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Phasianus",""
"370450","370450","txn","","","Palaeocryptonyx donnezani","","370450","species","Palaeocryptonyx donnezani","39344","Palaeocryptonyx","65508","extinct","14","4.16","2.245","1.8","0.774","Zanclean","Calabrian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Palaeocryptonyx",""
"429964","429964","txn","","","Francolinus subfrancolinus","subjective synonym of","370450","species","Palaeocryptonyx donnezani","39344","Palaeocryptonyx","58139","extinct","14","4.16","2.245","1.8","0.774","Zanclean","Calabrian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Palaeocryptonyx",""
"429962","429962","txn","","","Ammoperdix ponticus","subjective synonym of","370450","species","Palaeocryptonyx donnezani","39344","Palaeocryptonyx","58139","extinct","14","4.16","2.245","1.8","0.774","Zanclean","Calabrian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Palaeocryptonyx",""
"429966","429966","txn","","","Francolinus wezensis","subjective synonym of","370450","species","Palaeocryptonyx donnezani","39344","Palaeocryptonyx","58139","extinct","14","4.16","2.245","1.8","0.774","Zanclean","Calabrian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Palaeocryptonyx",""
"370449","370449","txn","","","Palaeocryptonyx grivensis","","370449","species","Palaeocryptonyx grivensis","39344","Palaeocryptonyx","65508","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Palaeocryptonyx",""
"429976","429976","txn","","","Tetrao conjugens","","429976","species","Tetrao conjugens","129743","Tetrao","58139","extinct","1","3.55","1.8","3.55","1.8","Piacenzian","Gelasian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Tetrao",""
"429978","429978","txn","","","Tetrao rhodopensis","","429978","species","Tetrao rhodopensis","129743","Tetrao","58139","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Tetrao",""
"429975","429975","txn","","","Tetrao praeurogallus","","429975","species","Tetrao praeurogallus","129743","Tetrao","58139","extinct","0","","","","","","","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Tetrao",""
"373076","373076","txn","","","Tetrao urogalloides","","373076","species","Tetrao urogalloides","129743","Tetrao","65172","extant","1","0.0117","0","0.0117","0","Holocene","","1","1","Chordata","Saurischia","Galliformes","Phasianidae","Tetrao",""
"373077","373077","txn","","","Tetrao parvirostris","subjective synonym of","373076","species","Tetrao urogalloides","129743","Tetrao","65172","extant","1","0.0117","0","0.0117","0","Holocene","","1","1","Chordata","Saurischia","Galliformes","Phasianidae","Tetrao",""
"429977","429977","txn","","","Tetrao macropus","","429977","species","Tetrao macropus","129743","Tetrao","58139","extinct","1","5.09","1.8","5.09","1.8","Zanclean","Gelasian","1","0","Chordata","Saurischia","Galliformes","Phasianidae","Tetrao",""
